"id"	"housing_median_age"	"households"	"median_income"	"median_house_value"
"1"	"0.0"	"5611.0"	"3.2981"	"222700.0"
"2"	"25.0"	"5780.0"	"2.6354"	"187500.0"
"3"	"25.0"	"5856.0"	"6.1825"	"227000.0"
"4"	"27.0"	"5220.0"	"1.4497"	"205600.0"
"5"	"23.0"	"5641.0"	"5.0415"	"240200.0"
"6"	"34.0"	"5313.0"	"2.9571"	"346200.0"
"7"	"34.0"	"5653.0"	"5.4716"	"400000.0"
"8"	"29.0"	"5414.0"	"3.735"	"218300.0"
"9"	"35.0"	"5082.0"	"1.7199"	"175000.0"
"10"	"2.0"	"5667.0"	"2.25"	"123500.0"
"11"	"27.0"	"5299.0"	"2.2402"	"89500.0"
"12"	"22.0"	"5287.0"	"4.0052"	"196400.0"
"13"	"20.0"	"5771.0"	"3.5667"	"394000.0"
"14"	"32.0"	"5674.0"	"6.1092"	"306500.0"
"15"	"24.0"	"5139.0"	"4.5743"	"382200.0"
"16"	"3.0"	"5731.0"	"2.6983"	"260100.0"
"17"	"26.0"	"5406.0"	"6.1461"	"217100.0"
"18"	"7.0"	"5780.0"	"2.1767"	"185300.0"
"19"	"0.0"	"5922.0"	"6.9408"	"298800.0"
"20"	"50.0"	"5295.0"	"4.6484"	"145900.0"
"21"	"19.0"	"5422.0"	"4.0795"	"270600.0"
"22"	"10.0"	"5785.0"	"2.2125"	"120700.0"
"23"	"20.0"	"5640.0"	"4.4279"	"226400.0"
"24"	"11.0"	"5692.0"	"2.0147"	"137500.0"
"25"	"46.0"	"6054.0"	"4.125"	"216700.0"
"26"	"22.0"	"5263.0"	"2.0044"	"212500.0"
"27"	"39.0"	"5364.0"	"9.5268"	"437900.0"
"28"	"36.0"	"5632.0"	"5.8673"	"154800.0"
"29"	"13.0"	"5527.0"	"4.2407"	"433800.0"
"30"	"19.0"	"5369.0"	"2.9722"	"325000.0"
"31"	"20.0"	"5819.0"	"2.6579"	"156800.0"
"32"	"0.0"	"5889.0"	"6.9322"	"334500.0"
"33"	"14.0"	"5888.0"	"4.0893"	"248900.0"
"34"	"26.0"	"5832.0"	"2.7188"	"48100.0"
"35"	"34.0"	"5682.0"	"2.7083"	"91200.0"
"36"	"10.0"	"5779.0"	"3.6094"	"114600.0"
"37"	"19.0"	"5810.0"	"3.1103"	"143500.0"
"38"	"0.0"	"5737.0"	"4.1328"	"500001.0"
"39"	"32.0"	"5879.0"	"3.5417"	"96600.0"
"40"	"28.0"	"5512.0"	"3.5395"	"127900.0"
"41"	"48.0"	"3723.0"	"5.5601"	"213700.0"
"42"	"34.0"	"5697.0"	"1.6346"	"63300.0"
"43"	"17.0"	"5460.0"	"3.0"	"253900.0"
"44"	"3.0"	"5781.0"	"2.75"	"146000.0"
"45"	"0.0"	"5553.0"	"2.6708"	"109700.0"
"46"	"13.0"	"5612.0"	"3.0167"	"130000.0"
"47"	"28.0"	"5309.0"	"1.3385"	"58800.0"
"48"	"40.0"	"5554.0"	"3.3531"	"90800.0"
"49"	"40.0"	"5839.0"	"3.235"	"210700.0"
"50"	"23.0"	"5910.0"	"4.8214"	"143400.0"
"51"	"24.0"	"5206.0"	"12.8879"	"500001.0"
"52"	"37.0"	"5455.0"	"3.9519"	"193500.0"
"53"	"24.0"	"5771.0"	"3.3594"	"79100.0"
"54"	"42.0"	"5711.0"	"12.542"	"500001.0"
"55"	"18.0"	"5734.0"	"1.8875"	"136700.0"
"56"	"10.0"	"5653.0"	"4.3542"	"417900.0"
"57"	"28.0"	"6008.0"	"5.3254"	"240500.0"
"58"	"17.0"	"5472.0"	"1.8977"	"95600.0"
"59"	"22.0"	"5254.0"	"4.5817"	"500001.0"
"60"	"48.0"	"5281.0"	"5.5956"	"247800.0"
"61"	"35.0"	"5789.0"	"4.3218"	"209100.0"
"62"	"2.0"	"5915.0"	"2.2206"	"59200.0"
"63"	"5.0"	"5601.0"	"3.4777"	"230600.0"
