"id"	"housing_median_age"	"population"	"households"	"median_income"	"median_house_value"
"1"	"23.0"	"1423.0"	"666.0"	"2.7375"	"238000.0"
"2"	"14.0"	"2300.0"	"867.0"	"2.9565"	"73000.0"
"3"	"17.0"	"1605.0"	"484.0"	"10.5981"	"460100.0"
"4"	"26.0"	"519.0"	"162.0"	"5.3209"	"185000.0"
"5"	"20.0"	"1198.0"	"497.0"	"3.7159"	"168900.0"
"6"	"13.0"	"2420.0"	"1059.0"	"2.9693"	"104400.0"
"7"	"52.0"	"1153.0"	"281.0"	"2.1923"	"155000.0"
"8"	"35.0"	"730.0"	"264.0"	"3.2305"	"93700.0"
"9"	"22.0"	"773.0"	"316.0"	"2.9812"	"148800.0"
"10"	"21.0"	"855.0"	"559.0"	"2.7846"	"91200.0"
"11"	"22.0"	"781.0"	"483.0"	"2.213"	"87500.0"
"12"	"26.0"	"1320.0"	"808.0"	"3.0259"	"211700.0"
"13"	"52.0"	"564.0"	"131.0"	"2.1591"	"63500.0"
"14"	"23.0"	"3786.0"	"917.0"	"1.4766"	"50600.0"
"15"	"17.0"	"1241.0"	"515.0"	"2.652"	"171300.0"
"16"	"10.0"	"1469.0"	"556.0"	"5.4188"	"402200.0"
"17"	"20.0"	"1113.0"	"398.0"	"2.4728"	"139700.0"
"18"	"12.0"	"37.0"	"17.0"	"1.8958"	"53800.0"
"19"	"35.0"	"1296.0"	"362.0"	"1.9286"	"68500.0"
"20"	"7.0"	"1216.0"	"395.0"	"13.1499"	"500001.0"
"21"	"38.0"	"879.0"	"388.0"	"2.7969"	"298400.0"
"22"	"14.0"	"6443.0"	"2009.0"	"4.7547"	"157600.0"
"23"	"45.0"	"1323.0"	"458.0"	"4.2813"	"210100.0"
"24"	"41.0"	"851.0"	"199.0"	"2.3077"	"140600.0"
"25"	"33.0"	"1154.0"	"405.0"	"4.0455"	"197200.0"
"26"	"22.0"	"1151.0"	"490.0"	"2.8182"	"109700.0"
"27"	"15.0"	"622.0"	"267.0"	"3.9688"	"182800.0"
"28"	"32.0"	"1005.0"	"392.0"	"2.6726"	"70400.0"
"29"	"15.0"	"1268.0"	"531.0"	"3.7604"	"280100.0"
"30"	"33.0"	"1365.0"	"478.0"	"4.8787"	"127700.0"
"31"	"44.0"	"1330.0"	"508.0"	"1.6103"	"50900.0"
"32"	"31.0"	"573.0"	"131.0"	"1.8173"	"154200.0"
"33"	"15.0"	"810.0"	"321.0"	"1.6369"	"86500.0"
